当前时间: 101.0
车辆 ID: flow_3_17, 速度: 16.67, 行驶距离: 213.6950000000001
车辆 ID: flow_3_18, 速度: 16.67, 行驶距离: 130.34500000000003
车辆 ID: flow_3_19, 速度: 14.0, 行驶距离: 49.0
车辆 ID: flow_3_20, 速度: 4.0, 行驶距离: 4.0
车辆 ID: flow_4_13, 速度: 16.67, 行驶距离: 201.89891996972557
车辆 ID: flow_4_14, 速度: 16.67, 行驶距离: 121.52376884159968
车辆 ID: flow_4_15, 速度: 16.3333, 行驶距离: 38.342118841599664
车辆 ID: flow_4_16, 速度: 8.3333, 行驶距离: 263.36655000000013
车辆 ID: flow_4_17, 速度: 16.67, 行驶距离: 213.6950000000001
车辆 ID: flow_4_18, 速度: 16.67, 行驶距离: 130.34500000000003
车辆 ID: flow_4_19, 速度: 14.0, 行驶距离: 49.0
车辆 ID: flow_4_20, 速度: 4.0, 行驶距离: 4.0
车辆 ID: flow_5_10, 速度: 0.0, 行驶距离: 262.44985000000014
车辆 ID: flow_5_11, 速度: 0.0, 行驶距离: 254.94985000000014
车辆 ID: flow_5_12, 速度: 0.0, 行驶距离: 269.26166666666677
车辆 ID: flow_5_13, 速度: 0.0, 行驶距离: 247.44985000000014
车辆 ID: flow_5_14, 速度: 0.0, 行驶距离: 261.7616666666668
车辆 ID: flow_5_15, 速度: 0.0, 行驶距离: 239.94985000000014
车辆 ID: flow_5_16, 速度: 0.0, 行驶距离: 232.44985000000014
车辆 ID: flow_5_17, 速度: 11.454426659469412, 行驶距离: 210.3716399892042
车辆 ID: flow_5_18, 速度: 16.67, 行驶距离: 130.34500000000003
车辆 ID: flow_5_19, 速度: 14.0, 行驶距离: 49.0
车辆 ID: flow_5_20, 速度: 4.0, 行驶距离: 4.0
车辆 ID: flow_5_9, 速度: 0.0, 行驶距离: 269.94985000000014
车辆 ID: flow_6_10, 速度: 0.0, 行驶距离: 269.26166666666677
车辆 ID: flow_6_11, 速度: 0.0, 行驶距离: 262.44985000000014
车辆 ID: flow_6_12, 速度: 0.0, 行驶距离: 254.94985000000014
车辆 ID: flow_6_13, 速度: 0.0, 行驶距离: 247.44985000000014
车辆 ID: flow_6_14, 速度: 0.0, 行驶距离: 239.94985000000014
车辆 ID: flow_6_15, 速度: 0.0, 行驶距离: 261.7616666666668
车辆 ID: flow_6_16, 速度: 0.0, 行驶距离: 232.44985000000014
车辆 ID: flow_6_17, 速度: 11.454426659469412, 行驶距离: 210.3716399892042
车辆 ID: flow_6_18, 速度: 16.67, 行驶距离: 130.34500000000003
车辆 ID: flow_6_19, 速度: 14.0, 行驶距离: 49.0
车辆 ID: flow_6_20, 速度: 4.0, 行驶距离: 4.0
车辆 ID: flow_6_9, 速度: 0.0, 行驶距离: 269.94985000000014
车辆 ID: flow_7_13, 速度: 16.67, 行驶距离: 201.89891996972557
车辆 ID: flow_7_14, 速度: 16.67, 行驶距离: 118.54891996972552
车辆 ID: flow_7_15, 速度: 16.3333, 行驶距离: 35.36726996972551
车辆 ID: flow_7_16, 速度: 8.3333, 行驶距离: 263.36655000000013
车辆 ID: flow_7_17, 速度: 16.67, 行驶距离: 213.6950000000001
车辆 ID: flow_7_18, 速度: 16.67, 行驶距离: 130.34500000000003
车辆 ID: flow_7_19, 速度: 14.0, 行驶距离: 49.0
车辆 ID: flow_7_20, 速度: 4.0, 行驶距离: 4.0
车辆 ID: flow_8_13, 速度: 16.67, 行驶距离: 201.89891996972557
车辆 ID: flow_8_14, 速度: 16.67, 行驶距离: 118.54891996972552
车辆 ID: flow_8_15, 速度: 16.3333, 行驶距离: 38.342118841599664
车辆 ID: flow_8_16, 速度: 8.3333, 行驶距离: 263.36655000000013
车辆 ID: flow_8_17, 速度: 16.67, 行驶距离: 213.6950000000001
车辆 ID: flow_8_18, 速度: 16.67, 行驶距离: 130.34500000000003
车辆 ID: flow_8_19, 速度: 14.0, 行驶距离: 49.0
车辆 ID: flow_8_20, 速度: 4.0, 行驶距离: 4.0
车辆 ID: flow_9_0, 速度: 0.0, 行驶距离: 269.26166666666677
车辆 ID: flow_9_1, 速度: 0.0, 行驶距离: 261.7616666666668
车辆 ID: flow_9_10, 速度: 0.0, 行驶距离: 231.7616666666669
车辆 ID: flow_9_11, 速度: 0.0, 行驶距离: 224.2616666666669
车辆 ID: flow_9_12, 速度: 0.0, 行驶距离: 231.7616666666669
车辆 ID: flow_9_13, 速度: 0.0, 行驶距离: 224.2616666666669
车辆 ID: flow_9_14, 速度: 0.0, 行驶距离: 216.76166666666694
车辆 ID: flow_9_15, 速度: 0.0, 行驶距离: 209.26166666666694
车辆 ID: flow_9_16, 速度: 0.0, 行驶距离: 201.76166666666694
车辆 ID: flow_9_17, 速度: 3.098541057599185, 行驶距离: 193.1948937015972
车辆 ID: flow_9_18, 速度: 16.67, 行驶距离: 130.34500000000003
车辆 ID: flow_9_19, 速度: 14.0, 行驶距离: 49.0
车辆 ID: flow_9_2, 速度: 0.0, 行驶距离: 254.26166666666683
车辆 ID: flow_9_20, 速度: 4.0, 行驶距离: 4.0
车辆 ID: flow_9_3, 速度: 0.0, 行驶距离: 269.26166666666677
车辆 ID: flow_9_4, 速度: 0.0, 行驶距离: 261.7616666666668
车辆 ID: flow_9_5, 速度: 0.0, 行驶距离: 254.26166666666683
车辆 ID: flow_9_6, 速度: 0.0, 行驶距离: 246.76166666666683
车辆 ID: flow_9_7, 速度: 0.0, 行驶距离: 246.76166666666683
车辆 ID: flow_9_8, 速度: 0.0, 行驶距离: 239.26166666666688
车辆 ID: flow_9_9, 速度: 0.0, 行驶距离: 239.26166666666688
当前时间: 103.0
车辆 ID: flow_0_10, 速度: 0.0, 行驶距离: 254.26166666666683
车辆 ID: flow_0_11, 速度: 0.0, 行驶距离: 246.76166666666683
车辆 ID: flow_0_12, 速度: 0.0, 行驶距离: 239.26166666666688
车辆 ID: flow_0_13, 速度: 0.0, 行驶距离: 231.7616666666669
车辆 ID: flow_0_14, 速度: 0.0, 行驶距离: 269.26166666666677
车辆 ID: flow_0_15, 速度: 0.0, 行驶距离: 261.7616666666668
车辆 ID: flow_0_16, 速度: 0.0, 行驶距离: 224.2616666666669
车辆 ID: flow_0_17, 速度: 13.891666666666667, 行驶距离: 228.97583333333344
车辆 ID: flow_0_18, 速度: 16.67, 行驶距离: 147.01500000000004
车辆 ID: flow_0_19, 速度: 16.0, 行驶距离: 64.0
车辆 ID: flow_0_20, 速度: 6.0, 行驶距离: 9.0
车辆 ID: flow_0_3, 速度: 0.0, 行驶距离: 269.26166666666677
车辆 ID: flow_0_4, 速度: 0.0, 行驶距离: 261.7616666666668
车辆 ID: flow_0_5, 速度: 0.0, 行驶距离: 269.26166666666677
车辆 ID: flow_0_6, 速度: 0.0, 行驶距离: 254.26166666666683
车辆 ID: flow_0_7, 速度: 0.0, 行驶距离: 246.76166666666683
车辆 ID: flow_0_8, 速度: 0.0, 行驶距离: 261.7616666666668
车辆 ID: flow_0_9, 速度: 0.0, 行驶距离: 239.26166666666688
车辆 ID: flow_10_13, 速度: 16.67, 行驶距离: 221.54376884159973
车辆 ID: flow_10_14, 速度: 16.67, 行驶距离: 138.19376884159968
车辆 ID: flow_10_15, 速度: 16.67, 行驶距离: 54.84376884159967
车辆 ID: flow_10_16, 速度: 8.3333, 行驶距离: 1.69985000000014
车辆 ID: flow_10_17, 速度: 12.170000000000002, 行驶距离: 228.11500000000012
车辆 ID: flow_10_18, 速度: 16.67, 行驶距离: 147.01500000000004
车辆 ID: flow_10_19, 速度: 16.0, 行驶距离: 64.0
车辆 ID: flow_10_20, 速度: 6.0, 行驶距离: 9.0
车辆 ID: flow_11_0, 速度: 0.0, 行驶距离: 269.26166666666677
车辆 ID: flow_11_1, 速度: 0.0, 行驶距离: 261.7616666666668
车辆 ID: flow_11_10, 速度: 0.0, 行驶距离: 254.26166666666683
车辆 ID: flow_11_11, 速度: 0.0, 行驶距离: 246.76166666666683
车辆 ID: flow_11_12, 速度: 0.0, 行驶距离: 239.26166666666688
车辆 ID: flow_11_13, 速度: 0.0, 行驶距离: 209.26166666666697
车辆 ID: flow_11_14, 速度: 0.0, 行驶距离: 231.7616666666669
车辆 ID: flow_11_15, 速度: 0.0, 行驶距离: 201.761666666667
车辆 ID: flow_11_16, 速度: 0.0, 行驶距离: 194.261666666667
车辆 ID: flow_11_17, 速度: 6.783510473560099, 行驶距离: 219.14877618390028
车辆 ID: flow_11_18, 速度: 16.67, 行驶距离: 147.01500000000004
车辆 ID: flow_11_19, 速度: 16.0, 行驶距离: 64.0
车辆 ID: flow_11_2, 速度: 0.0, 行驶距离: 254.26166666666683
车辆 ID: flow_11_20, 速度: 6.0, 行驶距离: 9.0
车辆 ID: flow_11_3, 速度: 0.0, 行驶距离: 269.26166666666677
车辆 ID: flow_11_4, 速度: 0.0, 行驶距离: 246.76166666666683
车辆 ID: flow_11_5, 速度: 0.0, 行驶距离: 239.26166666666688
车辆 ID: flow_11_6, 速度: 0.0, 行驶距离: 261.7616666666668
车辆 ID: flow_11_7, 速度: 0.0, 行驶距离: 231.7616666666669
车辆 ID: flow_11_8, 速度: 0.0, 行驶距离: 224.2616666666669
车辆 ID: flow_11_9, 速度: 0.0, 行驶距离: 216.76166666666694
车辆 ID: flow_1_10, 速度: 0.0, 行驶距离: 254.26166666666683
车辆 ID: flow_1_11, 速度: 0.0, 行驶距离: 246.76166666666683
车辆 ID: flow_1_12, 速度: 0.0, 行驶距离: 239.26166666666688
车辆 ID: flow_1_13, 速度: 0.0, 行驶距离: 231.7616666666669
车辆 ID: flow_1_14, 速度: 0.0, 行驶距离: 224.2616666666669
